AGUA CLARAMS;MS;Agua Clara;JUSSARAPR;PR;Jussara;Jussara;689
AMAMBAIPK183MS;MS;Amambai;JUSSARAPR;PR;Jussara;Jussara;428
ANHEMBISP;SP;Anhembi;JUSSARAPR;PR;Jussara;Jussara;0
ARACATUBASP;SP;Aracatuba;JUSSARAPR;PR;Jussara;Jussara;755
ARAGUARIMG;MG;Araguari;JUSSARAPR;PR;Jussara;Jussara;1.161
BARCARENAPA;PA;Barcarena;JUSSARAPR;PR;Jussara;Jussara;0
BARRA BONITASP;SP;Barra Bonita;JUSSARAPR;PR;Jussara;Jussara;0
BOISPK175GO;GO;Inaciolandia;JUSSARAPR;PR;Jussara;Jussara;1.041
BORBOREMASP;SP;Borborema;JUSSARAPR;PR;Jussara;Jussara;669
BURITAMASP;SP;Buritama;JUSSARAPR;PR;Jussara;Jussara;0
CASTELANDIAGO;GO;Castelandia;JUSSARAPR;PR;Jussara;Jussara;940
EUCLIDES DA CUNHA PAULISTASP;SP;Euclides da Cunha Paulista;JUSSARAPR;PR;Jussara;Jussara;0
GUAIRAPR;PR;Guaira;JUSSARAPR;PR;Jussara;Jussara;346
IBITINGASP;SP;Ibitinga;JUSSARAPR;PR;Jussara;Jussara;980
INOCENCIAMS;MS;Inocencia;JUSSARAPR;PR;Jussara;Jussara;719
ITAITUBAPA;PA;Itaituba;JUSSARAPR;PR;Jussara;Jussara;0
ITUMBIARAGO;GO;Itumbiara;JUSSARAPR;PR;Jussara;Jussara;1.089
ITURAMAMG;MG;Iturama;JUSSARAPR;PR;Jussara;Jussara;0
IVINHEMAMS;MS;Ivinhema;JUSSARAPR;PR;Jussara;Jussara;361
JUSSARAPR;PR;Jussara;JUSSARAPR;PR;Jussara;Jussara;0
JUTIMS;MS;Juti;JUSSARAPR;PR;Jussara;Jussara;351
MARACAJUMS;MS;Maracaju;JUSSARAPR;PR;Jussara;Jussara;638
NAVIRAIMS;MS;Navirai;JUSSARAPR;PR;Jussara;Jussara;331
PANORAMASP;SP;Panorama;JUSSARAPR;PR;Jussara;Jussara;528
PARDOPK214MS;MS;Santa Rita do Pardo;JUSSARAPR;PR;Jussara;Jussara;683
PEREIRA BARRETOSP;SP;Pereira Barreto;JUSSARAPR;PR;Jussara;Jussara;749
PEDERNEIRASSP;SP;Pederneiras;JUSSARAPR;PR;Jussara;Jussara;0
PORTO RICOPR;PR;Porto Rico;JUSSARAPR;PR;Jussara;Jussara;0
PORTO VELHORO;RO;Porto Velho;JUSSARAPR;PR;Jussara;Jussara;0
PRESIDENTE EPITACIOSP;SP;Presidente Epitacio;JUSSARAPR;PR;Jussara;Jussara;470
RIO BRILHANTEMS;MS;Rio Brilhante;JUSSARAPR;PR;Jussara;Jussara;538
ROSANASP;SP;Rosana;JUSSARAPR;PR;Jussara;Jussara;348
SABINOSP;SP;Sabino;JUSSARAPR;PR;Jussara;Jussara;755
SANTA HELENAPR;PR;Santa Helena;JUSSARAPR;PR;Jussara;Jussara;0
SAO SIMAOGO;GO;Sao Simao;JUSSARAPR;PR;Jussara;Jussara;866
SUCURIUPK170MS;MS;Alto Sucuriu;JUSSARAPR;PR;Jussara;Jussara;782
TEODORO SAMPAIOSP;SP;Teodoro Sampaio;JUSSARAPR;PR;Jussara;Jussara;471
TRES LAGOASMS;MS;Tres Lagoas;JUSSARAPR;PR;Jussara;Jussara;605
UBARANASP;SP;Ubarana;JUSSARAPR;PR;Jussara;Jussara;0
