UF_id;UF;Nome_UF;Nome_Microrregiao;Codigo Municipio Completo;Nome_Municipio;Codigo de Distrito Completo;Nome_Distrito;;;;
15;PA;Para;Bragantina;1500909;Augusto Correa;150090920;Itapixuna;;;;
15;PA;Para;Guama;1500958;Aurora do Para;150095805;Aurora do Para;;;;
15;PA;Para;Itaituba;1501006;Aveiro;150100605;Aveiro;;;;
15;PA;Para;Itaituba;1501006;Aveiro;150100610;Brasilia Legal;;;;
15;PA;Para;Itaituba;1501006;Aveiro;150100615;Pinhel;;;;
15;PA;Para;Portel;1501105;Bagre;150110505;Bagre;;;;
15;PA;Para;Portel;1501105;Bagre;150110510;Pedreira;;;;
15;PA;Para;Cameta;1501204;Baiao;150120405;Baiao;;;;
15;PA;Para;Cameta;1501204;Baiao;150120410;Joana Peres;;;;
15;PA;Para;Cameta;1501204;Baiao;150120420;Sao Joaquim do Ituquara;;;;
15;PA;Para;Cameta;1501204;Baiao;150120430;Umarizal do Tocantins;;;;
15;PA;Para;Sao Felix do Xingu;1501253;Bannach;150125305;Bannach;;;;
15;PA;Para;Belem;1501303;Barcarena;150130305;Barcarena;;;;
15;PA;Para;Belem;1501303;Barcarena;150130310;Murucupi;;;;
15;PA;Para;Belem;1501402;Belem;150140205;Belem;;;;
15;PA;Para;Belem;1501402;Belem;150140245;Bengui;;;;
15;PA;Para;Belem;1501402;Belem;150140250;Entroncamento;;;;
15;PA;Para;Belem;1501402;Belem;150140255;Guama;;;;
15;PA;Para;Belem;1501402;Belem;150140260;Icoaraci;;;;
15;PA;Para;Belem;1501402;Belem;150140265;Mosqueiro;;;;
15;PA;Para;Belem;1501402;Belem;150140267;Outeiro;;;;
15;PA;Para;Belem;1501402;Belem;150140275;Sacramenta;;;;
15;PA;Para;Santarem;1501451;Belterra;150145105;Belterra;;;;
15;PA;Para;Belem;1501501;Benevides;150150105;Benevides;;;;
15;PA;Para;Belem;1501501;Benevides;150150110;Benfica;;;;
15;PA;Para;Paragominas;1501576;Bom Jesus do Tocantins;150157605;Bom Jesus do Tocantins;;;;
15;PA;Para;Bragantina;1501600;Bonito;150160005;Bonito;;;;
15;PA;Para;Bragantina;1501709;Braganca;150170905;Braganca;;;;
15;PA;Para;Bragantina;1501709;Braganca;150170910;Almoco;;;;
15;PA;Para;Bragantina;1501709;Braganca;150170915;Caratateua;;;;
15;PA;Para;Bragantina;1501709;Braganca;150170920;Nova Mocajuba;;;;
15;PA;Para;Bragantina;1501709;Braganca;150170930;Tijoca;;;;
15;PA;Para;Bragantina;1501709;Braganca;150170940;Vila do Treme;;;;
15;PA;Para;Altamira;1501725;Brasil Novo;150172505;Brasil Novo;;;;
15;PA;Para;Maraba;1501758;Brejo Grande do Araguaia;150175805;Brejo Grande do Araguaia;;;;
15;PA;Para;Maraba;1501758;Brejo Grande do Araguaia;150175815;Sao Raimundo do Araguaia;;;;
15;PA;Para;Tucurui;1501782;Breu Branco;150178205;Breu Branco;;;;
15;PA;Para;Furos de Breves;1501808;Breves;150180805;Breves;;;;
15;PA;Para;Furos de Breves;1501808;Breves;150180810;Antonio Lemos;;;;
15;PA;Para;Furos de Breves;1501808;Breves;150180815;Curumu;;;;
15;PA;Para;Furos de Breves;1501808;Breves;150180820;Sao Miguel dos Macacos;;;;
15;PA;Para;Castanhal;1501907;Bujaru;150190705;Bujaru;;;;
15;PA;Para;Castanhal;1501907;Bujaru;150190710;Guajara Acu;;;;
15;PA;Para;Arari;1502004;Cachoeira do Arari;150200405;Cachoeira do Arari;;;;
15;PA;Para;Guama;1501956;Cachoeira do Piria;150195605;Cachoeira do Piria;;;;
15;PA;Para;Cameta;1502103;Cameta;150210305;Cameta;;;;
15;PA;Para;Cameta;1502103;Cameta;150210307;Areiao;;;;
15;PA;Para;Cameta;1502103;Cameta;150210310;Carapajo;;;;
15;PA;Para;Cameta;1502103;Cameta;150210315;Curucambaba;;;;
15;PA;Para;Cameta;1502103;Cameta;150210320;Januacoeli;;;;
15;PA;Para;Cameta;1502103;Cameta;150210325;Juaba;;;;
15;PA;Para;Cameta;1502103;Cameta;150210330;Moiraba;;;;
15;PA;Para;Cameta;1502103;Cameta;150210336;Torres do Cupijo;;;;
